ID,学历要求,工作经验,薪资
5763574,不限,1-3年,28k-30k
5666839,本科,3-5年,10k-20k
5771796,硕士,1-3年,10k-20k
5488449,本科,不限,5k-10k
5579043,本科,3-5年,20k-40k
3945445,大专,3-5年,13k-25k
5742124,本科,5-10年,20k-40k
5557634,不限,不限,4k-8k
5448971,本科,5-10年,20k-40k
5151346,本科,3-5年,15k-30k
5708532,本科,1-3年,15k-25k
5391338,本科,3-5年,30k-50k
5529993,本科,3-5年,10k-20k
4983118,本科,1-3年,10k-20k
4044956,本科,1年以下,20k-40k
5380722,本科,1-3年,10k-15k
5534115,本科,1-3年,10k-15k
5579971,本科,3-5年,10k-15k
3183977,本科,3-5年,15k-25k
5688572,本科,1-3年,10k-20k
4996784,本科,3-5年,15k-30k
4385214,本科,3-5年,15k-25k
5501432,本科,3-5年,15k-30k
5319175,本科,1-3年,15k-25k
5294402,本科,3-5年,10k-20k
5399762,本科,3-5年,18k-32k
5529012,本科,3-5年,15k-30k
5390437,本科,3-5年,20k-40k
4224071,本科,3-5年,14k-25k
5253335,本科,5-10年,15k-30k
5500720,本科,3-5年,13k-26k
4584794,本科,3-5年,20k-40k
5380871,本科,3-5年,15k-25k
4535740,本科,5-10年,15k-30k
5451656,不限,不限,2k-4k
2857336,本科,3-5年,20k-30k
5493916,硕士,1-3年,12k-24k
5780722,本科,3-5年,15k-30k
5545318,本科,3-5年,20k-40k
4687784,本科,1-3年,15k-25k
5663951,大专,1-3年,7k-12k
5440507,本科,1-3年,8k-15k
4757428,本科,3-5年,15k-25k
5335113,本科,1-3年,11k-16k
5021443,硕士,1-3年,10k-15k
5420145,本科,5-10年,25k-40k
5534114,本科,1-3年,8k-12k
5320048,本科,5-10年,30k-50k
5440536,本科,1年以下,4k-8k
5710523,本科,1-3年,10k-20k
4265476,本科,3-5年,15k-25k
5645002,本科,1-3年,9k-15k
5084959,硕士,1-3年,20k-30k
3975218,本科,3-5年,12k-24k
3043500,本科,1-3年,5k-7k
5779914,本科,3-5年,14k-28k
5787021,本科,3-5年,15k-25k
5075030,本科,1-3年,15k-25k
5479849,本科,1-3年,9k-18k
4807455,本科,不限,10k-20k
5494730,本科,3-5年,15k-25k
5767740,本科,1-3年,12k-20k
5237655,本科,1-3年,10k-15k
5780165,不限,不限,10k-20k
5396259,本科,3-5年,15k-30k
5388108,本科,1-3年,15k-20k
4765174,本科,3-5年,15k-25k
5533861,大专,3-5年,10k-15k
5620108,本科,3-5年,15k-25k
5664008,本科,1-3年,10k-15k
5781109,本科,不限,15k-25k
5662282,本科,3-5年,20k-40k
5706091,本科,3-5年,10k-20k
5744502,不限,1-3年,15k-25k
3908272,本科,不限,10k-20k
5620063,本科,3-5年,15k-25k
5404966,本科,不限,15k-25k
5696787,本科,1-3年,8k-12k
5183495,本科,1-3年,8k-12k
5686704,本科,3-5年,10k-20k
5719370,本科,不限,12k-24k
5719810,本科,3-5年,20k-40k
5729645,本科,3-5年,8k-15k
5715772,本科,3-5年,8k-16k
5084989,本科,1-3年,5k-9k
5665505,本科,3-5年,15k-30k
5587569,本科,1-3年,8k-15k
5785552,本科,3-5年,20k-30k
4619433,本科,3-5年,8k-12k
5786363,本科,1-3年,10k-20k
5364606,本科,1-3年,6k-12k
5645952,本科,3-5年,20k-40k
4341361,本科,1-3年,10k-20k
5666110,本科,1-3年,8k-14k
5735565,本科,3-5年,10k-15k
5112176,本科,不限,20k-35k
5246226,本科,1-3年,15k-25k
5786560,本科,3-5年,20k-30k
4876862,本科,3-5年,6k-12k
5776990,本科,3-5年,10k-16k
4957675,本科,1-3年,12k-16k
5760999,本科,1年以下,5k-10k
5704938,本科,1-3年,10k-20k
5783436,本科,3-5年,15k-25k
5743333,本科,1-3年,8k-11k
5709378,本科,1-3年,15k-25k
5733842,本科,3-5年,15k-20k
5784690,不限,不限,15k-25k
4864988,本科,5-10年,20k-30k
5430691,本科,3-5年,15k-30k
5781438,本科,5-10年,10k-20k
5639625,本科,1-3年,10k-20k
4739438,本科,1-3年,8k-15k
5592108,本科,1-3年,10k-15k
5371833,本科,3-5年,20k-25k
4883641,硕士,1-3年,15k-30k
3406845,本科,3-5年,10k-15k
5651644,本科,3-5年,20k-25k
5452870,本科,1-3年,10k-15k
5733706,本科,1-3年,6k-10k
5341243,本科,1-3年,10k-20k
5644947,大专,1-3年,8k-16k
5322545,本科,3-5年,15k-25k
5748069,本科,1-3年,9k-15k
5774157,本科,应届毕业生,2k-4k
5470396,大专,1-3年,6k-9k
5355366,本科,1-3年,15k-30k
5570451,本科,5-10年,10k-15k
5644738,本科,3-5年,15k-30k
5288845,本科,3-5年,10k-20k
5730337,本科,不限,13k-20k
5493780,本科,1-3年,12k-18k
5458590,本科,不限,8k-16k
5779714,本科,3-5年,14k-25k
4735530,本科,1-3年,15k-20k
